,,number,Microsoft,Amazon,IBM,Apple
MSFT,3-Sep,45,22.69,48.43,80.91,10.36
MSFT,3-Oct,46,21.45,54.43,81.96,11.44
MSFT,3-Nov,47,21.1,53.97,83.08,10.45
MSFT,3-Dec,48,22.46,52.62,85.05,10.69
MSFT,4-Jan,49,22.69,50.4,91.06,11.28
MSFT,4-Feb,50,21.77,43.01,88.7,11.96
MSFT,4-Mar,51,20.46,43.28,84.41,13.52
MSFT,4-Apr,52,21.45,43.6,81.04,12.89
MSFT,4-May,53,21.53,48.5,81.59,14.03
MSFT,4-Jun,54,23.44,54.4,81.19,16.27
MSFT,4-Jul,55,23.38,38.92,80.19,16.17
MSFT,4-Aug,56,22.47,38.14,78.17,17.25
MSFT,4-Sep,57,22.76,40.86,79.13,19.38
MSFT,4-Oct,58,23.02,34.13,82.84,26.2
MSFT,4-Nov,59,24.6,39.68,87.15,33.53
MSFT,4-Dec,60,24.52,44.29,91.16,32.2
MSFT,5-Jan,61,24.11,43.22,86.39,38.45
MSFT,5-Feb,62,23.15,35.18,85.78,44.86
MSFT,5-Mar,63,22.24,34.27,84.66,41.67
MSFT,5-Apr,64,23.28,32.36,70.77,36.06
MSFT,5-May,65,23.82,35.51,70.18,39.76
MSFT,5-Jun,66,22.93,33.09,68.93,36.81
MSFT,5-Jul,67,23.64,45.15,77.53,42.65
MSFT,5-Aug,68,25.35,42.7,75.07,46.89
MSFT,5-Sep,69,23.83,45.3,74.7,53.61
MSFT,5-Oct,70,23.8,39.86,76.25,57.59
MSFT,5-Nov,71,25.71,48.46,82.98,67.82
MSFT,5-Dec,72,24.29,47.15,76.73,71.89
MSFT,6-Jan,73,26.14,44.82,75.89,75.51
MSFT,6-Feb,74,25.04,37.44,75.09,68.49
MSFT,6-Mar,75,25.36,36.53,77.17,62.72
MSFT,6-Apr,76,22.5,35.21,77.05,70.39
MSFT,6-May,77,21.19,34.61,75.04,59.77
MSFT,6-Jun,78,21.8,38.68,72.15,57.27
MSFT,6-Jul,79,22.51,26.89,72.7,67.96
MSFT,6-Aug,80,24.13,30.83,76.35,67.85
MSFT,6-Sep,81,25.68,32.12,77.26,76.98
MSFT,6-Oct,82,26.96,38.09,87.06,81.08
MSFT,6-Nov,83,27.66,40.34,86.95,91.66
MSFT,6-Dec,84,28.13,39.46,91.9,84.84
MSFT,7-Jan,85,29.07,37.67,93.79,85.73
MSFT,7-Feb,86,26.63,39.14,88.18,84.61
MSFT,7-Mar,87,26.35,39.79,89.44,92.91
MSFT,7-Apr,88,28.3,61.33,96.98,99.8
MSFT,7-May,89,29.11,69.14,101.54,121.19
MSFT,7-Jun,90,27.95,68.41,100.25,122.04
MSFT,7-Jul,91,27.5,78.54,105.4,131.76
MSFT,7-Aug,92,27.34,79.91,111.54,138.48
MSFT,7-Sep,93,28.04,93.15,112.6,153.47
MSFT,7-Oct,94,35.03,89.15,111,189.95
MSFT,7-Nov,95,32.09,90.56,100.9,182.22
MSFT,7-Dec,96,34,92.64,103.7,198.08
MSFT,8-Jan,97,31.13,77.7,102.75,135.36
MSFT,8-Feb,98,26.07,64.47,109.64,125.02
MSFT,8-Mar,99,27.21,71.3,110.87,143.5
MSFT,8-Apr,100,27.34,78.63,116.23,173.95
MSFT,8-May,101,27.25,81.62,125.14,188.75
MSFT,8-Jun,102,26.47,73.33,114.6,167.44
MSFT,8-Jul,103,24.75,76.34,123.74,158.95
MSFT,8-Aug,104,26.36,80.81,118.16,169.53
MSFT,8-Sep,105,25.78,72.76,113.53,113.66
MSFT,8-Oct,106,21.57,57.24,90.24,107.59
MSFT,8-Nov,107,19.66,42.7,79.65,92.67
MSFT,8-Dec,108,18.91,51.28,82.15,85.35
MSFT,9-Jan,109,16.63,58.82,89.46,90.13
MSFT,9-Feb,110,15.81,64.79,90.32,89.31
MSFT,9-Mar,111,17.99,73.44,95.09,105.12
MSFT,9-Apr,112,19.84,80.52,101.29,125.83
MSFT,9-May,113,20.59,77.99,104.85,135.81
MSFT,9-Jun,114,23.42,83.66,103.01,142.43
MSFT,9-Jul,115,23.18,85.76,116.34,163.39
MSFT,9-Aug,116,24.43,81.19,117,168.21
MSFT,9-Sep,117,25.49,93.36,118.55,185.35
MSFT,9-Oct,118,27.48,118.81,119.54,188.5
MSFT,9-Nov,119,29.27,135.91,125.79,199.91
MSFT,9-Dec,120,30.34,134.52,130.32,210.73
MSFT,10-Jan,121,28.05,125.41,121.85,192.06
MSFT,10-Feb,122,28.67,118.4,127.16,204.62
MSFT,10-Mar,123,28.8,128.82,125.55,223.02
AMZN,Jan-00,124,64.56,,,
AMZN,Feb-00,125,68.87,,,
AMZN,Mar-00,126,67,,,
AMZN,Apr-00,127,55.19,,,
AMZN,May-00,128,48.31,,,
AMZN,Jun-00,129,36.31,,,
AMZN,Jul-00,130,30.12,,,
AMZN,Aug-00,131,41.5,,,
AMZN,Sep-00,132,38.44,,,
AMZN,Oct-00,133,36.62,,,
AMZN,Nov-00,134,24.69,,,
AMZN,Dec-00,135,15.56,,,
AMZN,1-Jan,136,17.31,,,
AMZN,1-Feb,137,10.19,,,
AMZN,1-Mar,138,10.23,,,
AMZN,1-Apr,139,15.78,,,
AMZN,1-May,140,16.69,,,
AMZN,1-Jun,141,14.15,,,
AMZN,1-Jul,142,12.49,,,
AMZN,1-Aug,143,8.94,,,
AMZN,1-Sep,144,5.97,,,
AMZN,1-Oct,145,6.98,,,
AMZN,1-Nov,146,11.32,,,
AMZN,1-Dec,147,10.82,,,
AMZN,2-Jan,148,14.19,,,
AMZN,2-Feb,149,14.1,,,
AMZN,2-Mar,150,14.3,,,
AMZN,2-Apr,151,16.69,,,
AMZN,2-May,152,18.23,,,
AMZN,2-Jun,153,16.25,,,
AMZN,2-Jul,154,14.45,,,
AMZN,2-Aug,155,14.94,,,
AMZN,2-Sep,156,15.93,,,
AMZN,2-Oct,157,19.36,,,
AMZN,2-Nov,158,23.35,,,
AMZN,2-Dec,159,18.89,,,
AMZN,3-Jan,160,21.85,,,
AMZN,3-Feb,161,22.01,,,
AMZN,3-Mar,162,26.03,,,
AMZN,3-Apr,163,28.69,,,
AMZN,3-May,164,35.89,,,
AMZN,3-Jun,165,36.32,,,
AMZN,3-Jul,166,41.64,,,
AMZN,3-Aug,167,46.32,,,
AMZN,3-Sep,168,48.43,,,
AMZN,3-Oct,169,54.43,,,
AMZN,3-Nov,170,53.97,,,
AMZN,3-Dec,171,52.62,,,
AMZN,4-Jan,172,50.4,,,
AMZN,4-Feb,173,43.01,,,
AMZN,4-Mar,174,43.28,,,
AMZN,4-Apr,175,43.6,,,
AMZN,4-May,176,48.5,,,
AMZN,4-Jun,177,54.4,,,
AMZN,4-Jul,178,38.92,,,
AMZN,4-Aug,179,38.14,,,
AMZN,4-Sep,180,40.86,,,
AMZN,4-Oct,181,34.13,,,
AMZN,4-Nov,182,39.68,,,
AMZN,4-Dec,183,44.29,,,
AMZN,5-Jan,184,43.22,,,
AMZN,5-Feb,185,35.18,,,
AMZN,5-Mar,186,34.27,,,
AMZN,5-Apr,187,32.36,,,
AMZN,5-May,188,35.51,,,
AMZN,5-Jun,189,33.09,,,
AMZN,5-Jul,190,45.15,,,
AMZN,5-Aug,191,42.7,,,
AMZN,5-Sep,192,45.3,,,
AMZN,5-Oct,193,39.86,,,
AMZN,5-Nov,194,48.46,,,
AMZN,5-Dec,195,47.15,,,
AMZN,6-Jan,196,44.82,,,
AMZN,6-Feb,197,37.44,,,
AMZN,6-Mar,198,36.53,,,
AMZN,6-Apr,199,35.21,,,
AMZN,6-May,200,34.61,,,
AMZN,6-Jun,201,38.68,,,
AMZN,6-Jul,202,26.89,,,
AMZN,6-Aug,203,30.83,,,
AMZN,6-Sep,204,32.12,,,
AMZN,6-Oct,205,38.09,,,
AMZN,6-Nov,206,40.34,,,
AMZN,6-Dec,207,39.46,,,
AMZN,7-Jan,208,37.67,,,
AMZN,7-Feb,209,39.14,,,
AMZN,7-Mar,210,39.79,,,
AMZN,7-Apr,211,61.33,,,
AMZN,7-May,212,69.14,,,
AMZN,7-Jun,213,68.41,,,
AMZN,7-Jul,214,78.54,,,
AMZN,7-Aug,215,79.91,,,
AMZN,7-Sep,216,93.15,,,
AMZN,7-Oct,217,89.15,,,
AMZN,7-Nov,218,90.56,,,
AMZN,7-Dec,219,92.64,,,
AMZN,8-Jan,220,77.7,,,
AMZN,8-Feb,221,64.47,,,
AMZN,8-Mar,222,71.3,,,
AMZN,8-Apr,223,78.63,,,
AMZN,8-May,224,81.62,,,
AMZN,8-Jun,225,73.33,,,
AMZN,8-Jul,226,76.34,,,
AMZN,8-Aug,227,80.81,,,
AMZN,8-Sep,228,72.76,,,
AMZN,8-Oct,229,57.24,,,
AMZN,8-Nov,230,42.7,,,
AMZN,8-Dec,231,51.28,,,
AMZN,9-Jan,232,58.82,,,
AMZN,9-Feb,233,64.79,,,
AMZN,9-Mar,234,73.44,,,
AMZN,9-Apr,235,80.52,,,
AMZN,9-May,236,77.99,,,
AMZN,9-Jun,237,83.66,,,
AMZN,9-Jul,238,85.76,,,
AMZN,9-Aug,239,81.19,,,
AMZN,9-Sep,240,93.36,,,
AMZN,9-Oct,241,118.81,,,
AMZN,9-Nov,242,135.91,,,
AMZN,9-Dec,243,134.52,,,
AMZN,10-Jan,244,125.41,,,
AMZN,10-Feb,245,118.4,,,
AMZN,10-Mar,246,128.82,,,
IBM,Jan-00,247,100.52,,,
IBM,Feb-00,248,92.11,,,
IBM,Mar-00,249,106.11,,,
IBM,Apr-00,250,99.95,,,
IBM,May-00,251,96.31,,,
IBM,Jun-00,252,98.33,,,
IBM,Jul-00,253,100.74,,,
IBM,Aug-00,254,118.62,,,
IBM,Sep-00,255,101.19,,,
IBM,Oct-00,256,88.5,,,
IBM,Nov-00,257,84.12,,,
IBM,Dec-00,258,76.47,,,
IBM,1-Jan,259,100.76,,,
IBM,1-Feb,260,89.98,,,
IBM,1-Mar,261,86.63,,,
IBM,1-Apr,262,103.7,,,
IBM,1-May,263,100.82,,,
IBM,1-Jun,264,102.35,,,
IBM,1-Jul,265,94.87,,,
IBM,1-Aug,266,90.25,,,
IBM,1-Sep,267,82.82,,,
IBM,1-Oct,268,97.58,,,
IBM,1-Nov,269,104.5,,,
IBM,1-Dec,270,109.36,,,
IBM,2-Jan,271,97.54,,,
IBM,2-Feb,272,88.82,,,
IBM,2-Mar,273,94.15,,,
IBM,2-Apr,274,75.82,,,
IBM,2-May,275,72.97,,,
IBM,2-Jun,276,65.31,,,
IBM,2-Jul,277,63.86,,,
IBM,2-Aug,278,68.52,,,
IBM,2-Sep,279,53.01,,,
IBM,2-Oct,280,71.76,,,
IBM,2-Nov,281,79.16,,,
IBM,2-Dec,282,70.58,,,
IBM,3-Jan,283,71.22,,,
IBM,3-Feb,284,71.13,,,
IBM,3-Mar,285,71.57,,,
IBM,3-Apr,286,77.47,,,
IBM,3-May,287,80.48,,,
IBM,3-Jun,288,75.42,,,
IBM,3-Jul,289,74.28,,,
IBM,3-Aug,290,75.12,,,
IBM,3-Sep,291,80.91,,,
IBM,3-Oct,292,81.96,,,
IBM,3-Nov,293,83.08,,,
IBM,3-Dec,294,85.05,,,
IBM,4-Jan,295,91.06,,,
IBM,4-Feb,296,88.7,,,
IBM,4-Mar,297,84.41,,,
IBM,4-Apr,298,81.04,,,
IBM,4-May,299,81.59,,,
IBM,4-Jun,300,81.19,,,
IBM,4-Jul,301,80.19,,,
IBM,4-Aug,302,78.17,,,
IBM,4-Sep,303,79.13,,,
IBM,4-Oct,304,82.84,,,
IBM,4-Nov,305,87.15,,,
IBM,4-Dec,306,91.16,,,
IBM,5-Jan,307,86.39,,,
IBM,5-Feb,308,85.78,,,
IBM,5-Mar,309,84.66,,,
IBM,5-Apr,310,70.77,,,
IBM,5-May,311,70.18,,,
IBM,5-Jun,312,68.93,,,
IBM,5-Jul,313,77.53,,,
IBM,5-Aug,314,75.07,,,
IBM,5-Sep,315,74.7,,,
IBM,5-Oct,316,76.25,,,
IBM,5-Nov,317,82.98,,,
IBM,5-Dec,318,76.73,,,
IBM,6-Jan,319,75.89,,,
IBM,6-Feb,320,75.09,,,
IBM,6-Mar,321,77.17,,,
IBM,6-Apr,322,77.05,,,
IBM,6-May,323,75.04,,,
IBM,6-Jun,324,72.15,,,
IBM,6-Jul,325,72.7,,,
IBM,6-Aug,326,76.35,,,
IBM,6-Sep,327,77.26,,,
IBM,6-Oct,328,87.06,,,
IBM,6-Nov,329,86.95,,,
IBM,6-Dec,330,91.9,,,
IBM,7-Jan,331,93.79,,,
IBM,7-Feb,332,88.18,,,
IBM,7-Mar,333,89.44,,,
IBM,7-Apr,334,96.98,,,
IBM,7-May,335,101.54,,,
IBM,7-Jun,336,100.25,,,
IBM,7-Jul,337,105.4,,,
IBM,7-Aug,338,111.54,,,
IBM,7-Sep,339,112.6,,,
IBM,7-Oct,340,111,,,
IBM,7-Nov,341,100.9,,,
IBM,7-Dec,342,103.7,,,
IBM,8-Jan,343,102.75,,,
IBM,8-Feb,344,109.64,,,
IBM,8-Mar,345,110.87,,,
IBM,8-Apr,346,116.23,,,
IBM,8-May,347,125.14,,,
IBM,8-Jun,348,114.6,,,
IBM,8-Jul,349,123.74,,,
IBM,8-Aug,350,118.16,,,
IBM,8-Sep,351,113.53,,,
IBM,8-Oct,352,90.24,,,
IBM,8-Nov,353,79.65,,,
IBM,8-Dec,354,82.15,,,
IBM,9-Jan,355,89.46,,,
IBM,9-Feb,356,90.32,,,
IBM,9-Mar,357,95.09,,,
IBM,9-Apr,358,101.29,,,
IBM,9-May,359,104.85,,,
IBM,9-Jun,360,103.01,,,
IBM,9-Jul,361,116.34,,,
IBM,9-Aug,362,117,,,
IBM,9-Sep,363,118.55,,,
IBM,9-Oct,364,119.54,,,
IBM,9-Nov,365,125.79,,,
IBM,9-Dec,366,130.32,,,
IBM,10-Jan,367,121.85,,,
IBM,10-Feb,368,127.16,,,
IBM,10-Mar,369,125.55,,,
AAPL,Jan-00,370,25.94,,,
AAPL,Feb-00,371,28.66,,,
AAPL,Mar-00,372,33.95,,,
AAPL,Apr-00,373,31.01,,,
AAPL,May-00,374,21,,,
AAPL,Jun-00,375,26.19,,,
AAPL,Jul-00,376,25.41,,,
AAPL,Aug-00,377,30.47,,,
AAPL,Sep-00,378,12.88,,,
AAPL,Oct-00,379,9.78,,,
AAPL,Nov-00,380,8.25,,,
AAPL,Dec-00,381,7.44,,,
AAPL,1-Jan,382,10.81,,,
AAPL,1-Feb,383,9.12,,,
AAPL,1-Mar,384,11.03,,,
AAPL,1-Apr,385,12.74,,,
AAPL,1-May,386,9.98,,,
AAPL,1-Jun,387,11.62,,,
AAPL,1-Jul,388,9.4,,,
AAPL,1-Aug,389,9.27,,,
AAPL,1-Sep,390,7.76,,,
AAPL,1-Oct,391,8.78,,,
AAPL,1-Nov,392,10.65,,,
AAPL,1-Dec,393,10.95,,,
AAPL,2-Jan,394,12.36,,,
AAPL,2-Feb,395,10.85,,,
AAPL,2-Mar,396,11.84,,,
AAPL,2-Apr,397,12.14,,,
AAPL,2-May,398,11.65,,,
AAPL,2-Jun,399,8.86,,,
AAPL,2-Jul,400,7.63,,,
AAPL,2-Aug,401,7.38,,,
AAPL,2-Sep,402,7.25,,,
AAPL,2-Oct,403,8.03,,,
AAPL,2-Nov,404,7.75,,,
AAPL,2-Dec,405,7.16,,,
AAPL,3-Jan,406,7.18,,,
AAPL,3-Feb,407,7.51,,,
AAPL,3-Mar,408,7.07,,,
AAPL,3-Apr,409,7.11,,,
AAPL,3-May,410,8.98,,,
AAPL,3-Jun,411,9.53,,,
AAPL,3-Jul,412,10.54,,,
AAPL,3-Aug,413,11.31,,,
AAPL,3-Sep,414,10.36,,,
AAPL,3-Oct,415,11.44,,,
AAPL,3-Nov,416,10.45,,,
AAPL,3-Dec,417,10.69,,,
AAPL,4-Jan,418,11.28,,,
AAPL,4-Feb,419,11.96,,,
AAPL,4-Mar,420,13.52,,,
AAPL,4-Apr,421,12.89,,,
AAPL,4-May,422,14.03,,,
AAPL,4-Jun,423,16.27,,,
AAPL,4-Jul,424,16.17,,,
AAPL,4-Aug,425,17.25,,,
AAPL,4-Sep,426,19.38,,,
AAPL,4-Oct,427,26.2,,,
AAPL,4-Nov,428,33.53,,,
AAPL,4-Dec,429,32.2,,,
AAPL,5-Jan,430,38.45,,,
AAPL,5-Feb,431,44.86,,,
AAPL,5-Mar,432,41.67,,,
AAPL,5-Apr,433,36.06,,,
AAPL,5-May,434,39.76,,,
AAPL,5-Jun,435,36.81,,,
AAPL,5-Jul,436,42.65,,,
AAPL,5-Aug,437,46.89,,,
AAPL,5-Sep,438,53.61,,,
AAPL,5-Oct,439,57.59,,,
AAPL,5-Nov,440,67.82,,,
AAPL,5-Dec,441,71.89,,,
AAPL,6-Jan,442,75.51,,,
AAPL,6-Feb,443,68.49,,,
AAPL,6-Mar,444,62.72,,,
AAPL,6-Apr,445,70.39,,,
AAPL,6-May,446,59.77,,,
AAPL,6-Jun,447,57.27,,,
AAPL,6-Jul,448,67.96,,,
AAPL,6-Aug,449,67.85,,,
AAPL,6-Sep,450,76.98,,,
AAPL,6-Oct,451,81.08,,,
AAPL,6-Nov,452,91.66,,,
AAPL,6-Dec,453,84.84,,,
AAPL,7-Jan,454,85.73,,,
AAPL,7-Feb,455,84.61,,,
AAPL,7-Mar,456,92.91,,,
AAPL,7-Apr,457,99.8,,,
AAPL,7-May,458,121.19,,,
AAPL,7-Jun,459,122.04,,,
AAPL,7-Jul,460,131.76,,,
AAPL,7-Aug,461,138.48,,,
AAPL,7-Sep,462,153.47,,,
AAPL,7-Oct,463,189.95,,,
AAPL,7-Nov,464,182.22,,,
AAPL,7-Dec,465,198.08,,,
AAPL,8-Jan,466,135.36,,,
AAPL,8-Feb,467,125.02,,,
AAPL,8-Mar,468,143.5,,,
AAPL,8-Apr,469,173.95,,,
AAPL,8-May,470,188.75,,,
AAPL,8-Jun,471,167.44,,,
AAPL,8-Jul,472,158.95,,,
AAPL,8-Aug,473,169.53,,,
AAPL,8-Sep,474,113.66,,,
AAPL,8-Oct,475,107.59,,,
AAPL,8-Nov,476,92.67,,,
AAPL,8-Dec,477,85.35,,,
AAPL,9-Jan,478,90.13,,,
AAPL,9-Feb,479,89.31,,,
AAPL,9-Mar,480,105.12,,,
AAPL,9-Apr,481,125.83,,,
AAPL,9-May,482,135.81,,,
AAPL,9-Jun,483,142.43,,,
AAPL,9-Jul,484,163.39,,,
AAPL,9-Aug,485,168.21,,,
AAPL,9-Sep,486,185.35,,,
AAPL,9-Oct,487,188.5,,,
AAPL,9-Nov,488,199.91,,,
AAPL,9-Dec,489,210.73,,,
AAPL,10-Jan,490,192.06,,,
AAPL,10-Feb,491,204.62,,,
AAPL,10-Mar,492,223.02,,,
